INTERSECTION,NUMBER OF CYCLIST KILLED,ON STREET NAME,CRASHES,DISTRICT,NUMBER OF PERSONS KILLED,NUMBER OF MOTORIST INJURED,ZIP CODE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF MOTORIST KILLED,CROSS STREET NAME,NUMBER OF PEDESTRIANS KILLED,NUMBER OF PEDESTRIANS INJURED,LATITUDE,NUMBER OF PERSONS INJURED,BOROUGH,PRECINCT,OFF STREET NAME
40.4989488058_-74.2443650809,0,SWINNERTON STREET,2,503,0,0,10307.0,-74.2443650809,0,0,BILLOP AVENUE,0,0,40.4989488058,0,STATEN ISLAND,123,
40.4998420277_-74.2399169049,0,YETMAN AVENUE,2,503,0,0,10307.0,-74.2399169049,0,0,BILLOP AVENUE,0,0,40.4998420277,0,STATEN ISLAND,123,
40.5000250761_-74.2390114503,0,ROCKAWAY STREET,3,503,0,0,10307.0,-74.2390114503,0,0,BILLOP AVENUE,0,0,40.5000250761,0,STATEN ISLAND,123,
40.5002081247_-74.2381023951,0,LORETTO STREET,1,503,0,0,10307.0,-74.2381023951,0,0,BILLOP AVENUE,0,0,40.500208124699995,0,STATEN ISLAND,123,
40.5004173314_-74.2364850746,0,SPRAGUE AVENUE,1,503,0,0,10307.0,-74.2364850746,0,0,SURF AVENUE,0,0,40.5004173314,0,STATEN ISLAND,123,
40.5011785392_-74.2413312312,0,,1,503,0,0,10307.0,-74.2413312312,0,0,,0,0,40.5011785392,0,STATEN ISLAND,123,367 MANHATTAN STREET
40.5016305459_-74.2443461151,0,MAIN STREET,1,503,0,0,10307.0,-74.2443461151,0,0,CLERMONT AVENUE,0,0,40.5016305459,0,STATEN ISLAND,123,
40.5019773775_-74.2425890434,0,CLERMONT AVENUE,1,503,0,0,10307.0,-74.2425890434,0,0,BRIGHTON STREET,0,0,40.5019773775,0,STATEN ISLAND,123,
40.5019881019_-74.2334485956,0,JOLINE AVENUE,1,503,0,0,10307.0,-74.23344859560001,0,0,JOLINE LANE,0,0,40.501988101900004,0,STATEN ISLAND,123,
40.5021604545_-74.2416799714,0,MANHATTAN STREET,1,503,0,2,10307.0,-74.2416799714,0,0,CLERMONT AVENUE,0,0,40.5021604545,2,STATEN ISLAND,123,
40.5023407644_-74.2407780761,0,YETMAN AVENUE,1,503,0,0,10307.0,-74.2407780761,0,0,CLERMONT AVENUE,0,0,40.5023407644,0,STATEN ISLAND,123,
40.5025888054_-74.2336520586,0,BRUNO LANE,2,503,0,2,10307.0,-74.2336520586,0,0,JOLINE AVENUE,0,0,40.5025888054,2,STATEN ISLAND,123,
40.5027754306_-74.2518296231,0,HYLAN BOULEVARD,3,503,0,1,10307.0,-74.25182962310001,0,0,SATTERLEE STREET,0,0,40.502775430599996,1,STATEN ISLAND,123,
40.5028780134_-74.2513625509,0,CRAIG AVENUE,1,503,0,0,10307.0,-74.2513625509,0,0,HYLAN BOULEVARD,0,0,40.5028780134,0,STATEN ISLAND,123,
40.5032110172_-74.2497025188,0,CONNECTICUT STREET,1,503,0,0,10307.0,-74.2497025188,0,0,HYLAN BOULEVARD,0,0,40.503211017199995,0,STATEN ISLAND,123,
40.5033885829_-74.2488293874,0,FINLAY STREET,2,503,0,0,10307.0,-74.2488293874,0,0,HYLAN BOULEVARD,0,0,40.5033885829,0,STATEN ISLAND,123,
40.5035689257_-74.2479382824,0,ASPINWALL STREET,2,503,0,0,10307.0,-74.2479382824,0,0,HYLAN BOULEVARD,0,0,40.5035689257,0,STATEN ISLAND,123,
40.5036308799_-74.2381253709,0,WILDWOOD LANE,1,503,0,0,10307.0,-74.23812537090001,0,0,SANDY LANE,0,0,40.5036308799,0,STATEN ISLAND,123,
40.503692406_-74.2375754208,0,SPRAGUE AVENUE,2,503,0,0,10307.0,-74.2375754208,0,0,SANDY LANE,0,0,40.503692406,0,STATEN ISLAND,123,
