,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
152191,9,WEST 79 STREET,RIVERSIDE DRIVE,16,1,"(40.7849752, -73.982638)",20.0
152079,9,CENTRAL PARK WEST,WEST 81 STREET,15,3,"(40.7820225, -73.9717231)",19.0
151993,9,WEST END AVENUE,WEST 72 STREET,14,4,"(40.7798072, -73.9844773)",17.5
152137,9,WEST 79 STREET,BROADWAY,14,2,"(40.783844, -73.9799879)",17.5
152203,9,WEST 86 STREET,CENTRAL PARK WEST,13,0,"(40.7852936, -73.9693348)",15.0
151751,9,WEST 66 STREET,COLUMBUS AVENUE,13,1,"(40.7736009, -73.9815723)",15.0
152437,9,WEST 97 STREET,COLUMBUS AVENUE,13,0,"(40.7935573, -73.967016)",15.0
151733,9,BROADWAY,WEST 65 STREET,12,1,"(40.7730328, -73.9821971)",12.0
152285,9,WEST 86 STREET,AMSTERDAM AVENUE,12,3,"(40.7876856, -73.9750141)",12.0
152457,9,WEST 96 STREET,BROADWAY,12,2,"(40.794651, -73.9717827)",12.0
152249,9,WEST 86 STREET,COLUMBUS AVENUE,11,0,"(40.7864855, -73.9721726)",9.0
152392,9,WEST 96 STREET,CENTRAL PARK WEST,11,4,"(40.7916628, -73.9646839)",9.0
151512,9,BROADWAY,WEST 60 STREET,11,2,"(40.768891, -73.9820935)",9.0
151728,9,COLUMBUS AVENUE,WEST 65 STREET,10,1,"(40.7729916, -73.9820779)",6.5
152469,9,WEST 96 STREET,WEST END AVENUE,10,1,"(40.7952524, -73.9732091)",6.5
152117,9,WEST 81 STREET,COLUMBUS AVENUE,9,0,"(40.7832418, -73.9745391)",3.5
152028,9,COLUMBUS AVENUE,WEST 77 STREET,9,2,"(40.7806512, -73.9764177)",3.5
151927,9,WEST 73 STREET,COLUMBUS AVENUE,9,0,"(40.7780962, -73.9782926)",3.5
152655,9,BROADWAY,WEST 110 STREET,9,0,"(40.8041684, -73.9667001)",3.5
152298,9,BROADWAY,WEST 86 STREET,8,1,"(40.7883117, -73.9765017)",1.0
